year,gear,flag_iso2,fleet,species,catch,units,flag_name,flag_iso3,is_SID
1989,L,AU,JV,yft,80,mt,Australia,AUS,FALSE
1989,L,AU,AU,blm,1,mt,Australia,AUS,FALSE
1989,L,AU,JV,blm,0,mt,Australia,AUS,FALSE
1989,L,AU,AU,bum,0,mt,Australia,AUS,FALSE
1989,L,AU,JV,bum,0,mt,Australia,AUS,FALSE
1989,L,AU,AU,mls,6,mt,Australia,AUS,FALSE
1989,L,AU,JV,mls,0,mt,Australia,AUS,FALSE
1989,L,AU,AU,swo,14,mt,Australia,AUS,FALSE
1989,L,AU,JV,swo,0,mt,Australia,AUS,FALSE
1989,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
1989,L,AU,JV,ham,0,mt,Australia,AUS,FALSE
1989,L,AU,AU,mak,0,mt,Australia,AUS,FALSE
1989,L,AU,JV,mak,0,mt,Australia,AUS,FALSE
1989,L,AU,AU,ocs,0,mt,Australia,AUS,FALSE
1989,L,AU,JV,ocs,0,mt,Australia,AUS,FALSE
1989,L,AU,AU,por,0,mt,Australia,AUS,FALSE
1989,L,AU,JV,por,0,mt,Australia,AUS,FALSE
1989,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
1989,L,AU,JV,fal,0,mt,Australia,AUS,FALSE
1989,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
1989,L,AU,JV,thr,0,mt,Australia,AUS,FALSE
1990,L,AU,AU,alb,124,mt,Australia,AUS,FALSE
1990,L,AU,JV,alb,145,mt,Australia,AUS,FALSE
1990,L,AU,AU,bet,24,mt,Australia,AUS,FALSE
1990,L,AU,JV,bet,6,mt,Australia,AUS,FALSE
1990,L,AU,AU,pbf,0,mt,Australia,AUS,FALSE
1990,L,AU,JV,pbf,0,mt,Australia,AUS,FALSE
1990,L,AU,AU,skj,63,mt,Australia,AUS,FALSE
1990,L,AU,JV,skj,0,mt,Australia,AUS,FALSE
1990,L,AU,AU,yft,786,mt,Australia,AUS,FALSE
1990,L,AU,JV,yft,4,mt,Australia,AUS,FALSE
1990,L,AU,AU,blm,13,mt,Australia,AUS,FALSE
1990,L,AU,JV,blm,0,mt,Australia,AUS,FALSE
1990,L,AU,AU,bum,18,mt,Australia,AUS,FALSE
1990,L,AU,JV,bum,0,mt,Australia,AUS,FALSE
1990,L,AU,AU,mls,66,mt,Australia,AUS,FALSE
1990,L,AU,JV,mls,0,mt,Australia,AUS,FALSE
1990,L,AU,AU,swo,23,mt,Australia,AUS,FALSE
1990,L,AU,JV,swo,0,mt,Australia,AUS,FALSE
1990,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
1990,L,AU,JV,ham,0,mt,Australia,AUS,FALSE
1990,L,AU,AU,mak,0,mt,Australia,AUS,FALSE
1990,L,AU,JV,mak,0,mt,Australia,AUS,FALSE
1990,L,AU,AU,ocs,0,mt,Australia,AUS,FALSE
1990,L,AU,JV,ocs,0,mt,Australia,AUS,FALSE
1990,L,AU,AU,por,0,mt,Australia,AUS,FALSE
1990,L,AU,JV,por,0,mt,Australia,AUS,FALSE
1990,L,AU,AU,fal,0,mt,Australia,AUS,FALSE
1990,L,AU,JV,fal,0,mt,Australia,AUS,FALSE
1990,L,AU,AU,thr,0,mt,Australia,AUS,FALSE
1990,L,AU,JV,thr,0,mt,Australia,AUS,FALSE
1991,L,AU,AU,alb,158,mt,Australia,AUS,FALSE
1991,L,AU,JV,alb,67,mt,Australia,AUS,FALSE
1991,L,AU,AU,bet,27,mt,Australia,AUS,FALSE
1991,L,AU,JV,bet,0,mt,Australia,AUS,FALSE
1991,L,AU,AU,pbf,0,mt,Australia,AUS,FALSE
1991,L,AU,JV,pbf,0,mt,Australia,AUS,FALSE
1991,L,AU,AU,skj,66,mt,Australia,AUS,FALSE
1991,L,AU,JV,skj,0,mt,Australia,AUS,FALSE
1991,L,AU,AU,yft,807,mt,Australia,AUS,FALSE
1991,L,AU,JV,yft,0,mt,Australia,AUS,FALSE
1991,L,AU,AU,blm,15,mt,Australia,AUS,FALSE
1991,L,AU,JV,blm,0,mt,Australia,AUS,FALSE
1991,L,AU,AU,bum,1,mt,Australia,AUS,FALSE
1991,L,AU,JV,bum,0,mt,Australia,AUS,FALSE
1991,L,AU,AU,mls,32,mt,Australia,AUS,FALSE
1991,L,AU,JV,mls,0,mt,Australia,AUS,FALSE
1991,L,AU,AU,swo,59,mt,Australia,AUS,FALSE
1991,L,AU,JV,swo,0,mt,Australia,AUS,FALSE
1991,L,AU,AU,ham,0,mt,Australia,AUS,FALSE
